Outcome Variable,Exposure Variable,Interactive Variable,Current Lag,Confounding Variables,Equation 1,Equation 2,QAIC of Equation 1,QAIC of Equation 2
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy', 'ad']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad)",13807.0,13810.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday)",13807.0,13811.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + Tave_ma20",13578.0,13582.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'ad', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad) + factor(holiday)",15151.0,15085.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad) + Tave_ma20",14839.0,14802.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(holiday) + Tave_ma20",14841.0,14805.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'ad', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)",13817.0,13820.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20",13587.0,13591.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20",13588.0,13591.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(ad) + factor(holiday) + Tave_ma20",14841.0,14804.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'doy', 'ad', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)",13814.0,13817.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'doy', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20",13585.0,13589.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'doy', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20",13586.0,13589.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + factor(ad) + factor(holiday) + Tave_ma20",14869.0,14833.0
All,SPMout,suhiout,1,"['Tave', 'doy', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20",13595.0,13598.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'doy', 'ad', 'holiday']","All ~ SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)",13805.0,13808.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'doy', 'ad', 'Tave_ma20']","All ~ SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20",13576.0,13579.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'doy', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20",13577.0,13579.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'ad', 'holiday', 'Tave_ma20']",All ~ SPMout_1 + RHave + factor(dow) + factor(ad) + factor(holiday) + Tave_ma20,All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + factor(ad) + factor(holiday) + Tave_ma20,14858.0,14825.0
All,SPMout,suhiout,1,"['RHave', 'doy', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20",13585.0,13588.0
All,SPMout,suhiout,1,"['dow', 'doy', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20",13584.0,13586.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy', 'ad', 'holiday']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday)",13809.0,13812.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy', 'ad', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + Tave_ma20",13580.0,13583.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(holiday) + Tave_ma20",13580.0,13583.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + factor(ad) + factor(holiday) + Tave_ma20",14842.0,14805.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'doy', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20",13589.0,13593.0
All,SPMout,suhiout,1,"['Tave', 'dow', 'doy', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20",13587.0,13590.0
All,SPMout,suhiout,1,"['RHave', 'dow', 'doy', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20",13578.0,13580.0
All,SPMout,suhiout,1,"['Tave', 'RHave', 'dow', 'doy', 'ad', 'holiday', 'Tave_ma20']","All ~ SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20","All ~ SPMout_1:factor(suhiout_1) + SPMout_1 + ns(Tave, df=5) + RHave + factor(dow) + ns(doy, df=5):factor(year) + factor(ad) + factor(holiday) + Tave_ma20",13582.0,13585.0
